MainAddressVoivodeship,PKDMainSection,PKDMainDivision,2011.17,2011.5,2011.58,2011.67,2011.75,2011.83,2011.92,2012.0,2012.08,2012.17,2012.25,2012.33,2012.42,2012.5,2012.58,2012.67,2012.75,2012.83,2012.92,2013.0,2013.08,2013.17,2013.25,2013.33,2013.42,2013.5,2013.58,2013.67,2013.75,2013.83,2013.92,2014.0,2014.08,2014.17,2014.25,2014.33,2014.42,2014.5,2014.58,2014.67,2014.75,2014.83,2014.92,2015.0,2015.08,2015.17,2015.25,2015.33,2015.42,2015.5,2015.58,2015.67,2015.75,2015.83,2015.92,2016.0,2016.08,2016.17,2016.25,2016.33,2016.42,2016.5,2016.58,2016.67,2016.75,2016.83,2016.92,2017.0,2017.08,2017.17,2017.25,2017.33,2017.42,2017.5,2017.58,2017.67,2017.75,2017.83,2017.92,2018.0,2018.08,2018.17,2018.25,2018.33,2018.42,2018.5,2018.58,2018.67,2018.75,2018.83,2018.92,2019.0,2019.08,2019.17,2019.25,2019.33,2019.42,2019.5,2019.58,2019.67,2019.75,2019.83,2019.92,2020.0,2020.08,2020.17
wielkopolskie,C,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,4.0,5.0,4.0,9.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,0.0,3.0,5.0,0.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,7.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
wielkopolskie,D,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,E,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,E,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,E,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
wielkopolskie,E,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,F,41.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0,8.0,10.0,9.0,5.0,13.0,11.0,6.0,11.0,7.0,13.0,18.0,14.0,16.0,11.0,17.0,22.0,8.0,13.0,17.0,13.0,17.0,16.0,14.0,14.0,14.0,15.0,10.0,14.0,7.0,18.0,8.0,9.0,31.0,17.0,9.0,7.0,9.0,9.0,11.0,12.0,13.0,17.0,4.0,8.0,5.0,6.0,8.0,25.0,24.0,12.0,3.0,12.0,13.0,4.0,20.0,9.0,6.0,3.0,8.0,7.0,7.0,9.0,7.0,3.0,4.0,6.0,3.0,6.0,2.0,4.0,5.0,4.0,4.0,6.0,1.0,4.0,3.0,3.0,5.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,0.0
wielkopolskie,F,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,3.0,3.0,1.0,0.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,0.0,4.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0,2.0,0.0,2.0,3.0,1.0,3.0,5.0,1.0,0.0,0.0,3.0,3.0,5.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
wielkopolskie,F,43.0,0.0,0.0,2.0,7.0,2.0,11.0,11.0,20.0,47.0,18.0,24.0,16.0,29.0,12.0,22.0,28.0,29.0,28.0,41.0,46.0,59.0,48.0,37.0,37.0,34.0,41.0,39.0,43.0,28.0,48.0,47.0,42.0,38.0,36.0,37.0,30.0,62.0,32.0,34.0,51.0,60.0,43.0,21.0,17.0,31.0,33.0,39.0,31.0,34.0,19.0,24.0,15.0,29.0,23.0,61.0,62.0,26.0,22.0,35.0,38.0,16.0,63.0,10.0,15.0,12.0,10.0,12.0,16.0,15.0,19.0,15.0,20.0,8.0,13.0,10.0,7.0,6.0,5.0,10.0,8.0,12.0,6.0,8.0,6.0,5.0,3.0,5.0,1.0,6.0,3.0,3.0,4.0,10.0,6.0,4.0,6.0,3.0,2.0,8.0,3.0,3.0,4.0,1.0,1.0,8.0,1.0
wielkopolskie,G,45.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,13.0,12.0,7.0,20.0,9.0,10.0,15.0,11.0,7.0,6.0,8.0,11.0,26.0,17.0,22.0,12.0,12.0,10.0,17.0,11.0,17.0,15.0,10.0,14.0,16.0,8.0,7.0,14.0,17.0,17.0,11.0,14.0,5.0,17.0,5.0,12.0,21.0,17.0,13.0,12.0,12.0,5.0,6.0,12.0,5.0,5.0,19.0,25.0,7.0,8.0,12.0,6.0,3.0,18.0,4.0,1.0,3.0,6.0,3.0,2.0,8.0,6.0,0.0,7.0,3.0,6.0,4.0,4.0,5.0,7.0,1.0,3.0,7.0,3.0,4.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,5.0,7.0,4.0,6.0,0.0,2.0,2.0,0.0,4.0,1.0,4.0,3.0,4.0,7.0,0.0
wielkopolskie,G,46.0,0.0,0.0,2.0,0.0,5.0,2.0,3.0,6.0,36.0,17.0,18.0,14.0,17.0,20.0,17.0,15.0,16.0,5.0,17.0,17.0,27.0,28.0,15.0,18.0,21.0,11.0,16.0,16.0,15.0,16.0,24.0,14.0,28.0,16.0,20.0,28.0,31.0,26.0,20.0,23.0,26.0,18.0,12.0,11.0,17.0,20.0,25.0,9.0,11.0,10.0,11.0,8.0,8.0,16.0,28.0,26.0,12.0,4.0,17.0,16.0,6.0,29.0,6.0,7.0,3.0,10.0,3.0,6.0,6.0,12.0,6.0,4.0,5.0,4.0,5.0,5.0,3.0,7.0,3.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,1.0,1.0,2.0,3.0,5.0,0.0,5.0,3.0,4.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0
wielkopolskie,G,47.0,0.0,0.0,6.0,17.0,13.0,20.0,14.0,25.0,117.0,64.0,81.0,48.0,68.0,66.0,54.0,65.0,81.0,70.0,63.0,86.0,104.0,94.0,148.0,100.0,76.0,53.0,52.0,75.0,71.0,72.0,59.0,57.0,72.0,49.0,59.0,62.0,71.0,66.0,48.0,79.0,64.0,62.0,22.0,35.0,52.0,40.0,53.0,53.0,44.0,30.0,25.0,19.0,40.0,32.0,51.0,59.0,30.0,25.0,45.0,41.0,12.0,87.0,26.0,17.0,18.0,20.0,14.0,15.0,28.0,26.0,14.0,17.0,17.0,16.0,21.0,9.0,17.0,14.0,12.0,24.0,26.0,12.0,19.0,8.0,15.0,9.0,5.0,7.0,8.0,4.0,7.0,11.0,13.0,12.0,8.0,7.0,4.0,10.0,4.0,8.0,7.0,7.0,6.0,8.0,10.0,2.0
wielkopolskie,H,49.0,0.0,0.0,1.0,3.0,5.0,1.0,3.0,2.0,14.0,13.0,9.0,8.0,9.0,6.0,7.0,16.0,11.0,7.0,12.0,8.0,14.0,8.0,17.0,7.0,15.0,12.0,17.0,8.0,20.0,16.0,16.0,9.0,15.0,9.0,7.0,9.0,13.0,17.0,15.0,16.0,17.0,17.0,8.0,6.0,10.0,15.0,17.0,15.0,10.0,6.0,6.0,3.0,8.0,13.0,19.0,20.0,7.0,7.0,7.0,6.0,3.0,28.0,10.0,5.0,3.0,7.0,3.0,7.0,11.0,8.0,6.0,8.0,7.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,3.0,3.0,6.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,0.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,1.0,6.0,2.0,5.0,4.0,0.0
wielkopolskie,H,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,H,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,H,52.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
wielkopolskie,H,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wielkopolskie,I,55.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
wielkopolskie,I,56.0,0.0,0.0,0.0,2.0,3.0,2.0,7.0,3.0,6.0,10.0,8.0,11.0,12.0,10.0,8.0,10.0,10.0,4.0,7.0,10.0,10.0,8.0,11.0,5.0,15.0,9.0,14.0,8.0,8.0,9.0,3.0,10.0,7.0,9.0,8.0,10.0,8.0,10.0,2.0,9.0,2.0,9.0,8.0,8.0,8.0,8.0,4.0,6.0,4.0,2.0,3.0,2.0,3.0,6.0,11.0,12.0,1.0,4.0,9.0,1.0,1.0,14.0,3.0,1.0,3.0,4.0,1.0,1.0,4.0,4.0,0.0,3.0,1.0,2.0,3.0,0.0,3.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
wielkopolskie,J,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,J,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,J,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,J,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,J,62.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,4.0,3.0,2.0,5.0,0.0,3.0,6.0,1.0,1.0,5.0,0.0,6.0,1.0,7.0,6.0,2.0,3.0,1.0,4.0,6.0,6.0,7.0,7.0,3.0,2.0,3.0,1.0,1.0,1.0,6.0,9.0,5.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,2.0,3.0,2.0,0.0,5.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0
wielkopolskie,K,64.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0,4.0,1.0,3.0,5.0,2.0,3.0,3.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,K,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wielkopolskie,K,66.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,4.0,14.0,8.0,12.0,12.0,11.0,9.0,7.0,9.0,11.0,11.0,10.0,11.0,19.0,10.0,10.0,9.0,12.0,13.0,8.0,11.0,6.0,10.0,13.0,14.0,10.0,9.0,10.0,13.0,8.0,10.0,16.0,27.0,5.0,7.0,10.0,4.0,3.0,6.0,14.0,10.0,7.0,2.0,4.0,4.0,5.0,4.0,16.0,14.0,4.0,3.0,4.0,2.0,4.0,16.0,3.0,1.0,3.0,2.0,0.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
wielkopolskie,L,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,6.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wielkopolskie,M,69.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,4.0,1.0,4.0,2.0,5.0,2.0,1.0,2.0,0.0,1.0,3.0,3.0,6.0,0.0,1.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,8.0,9.0,3.0,1.0,4.0,0.0,0.0,5.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
wielkopolskie,M,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,7.0,0.0,7.0,3.0,3.0,8.0,0.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,6.0,1.0,1.0,4.0,2.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
